source,request_rate,input_len,output_len,completed,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms,mean_e2e_latency_ms,request_throughput,output_throughput
SGLang_Run2,2,1024,512,200,39.226556312059984,38.87963149463758,52.9368815553607,12.071083847238533,12.001092759017357,12.075054329997247,3187.8909607228707,1.9777190483508158,517.7965126439689
SGLang_Run2,2,2048,128,200,56.47655359323835,50.07988400757313,109.68962729442863,11.997236408067371,11.873625789025034,12.032426012387916,845.7771109900204,2.001133646713712,133.3055178758339
SGLang_Run2,2,2048,512,200,44.170822091109585,44.49494299478829,62.02288438857067,12.440092975961347,12.3594501077555,12.431392465794659,3285.6885621976107,1.977736710761493,517.8011369280202
SGLang_Run2,2,256,128,200,30.914717367268167,29.38761151744984,44.757202448090524,11.359847733890234,11.347211327332008,11.409643702020162,779.3657698098104,1.9991552593043533,133.1737275985595
SGLang_Run2,2,256,512,200,35.57183022639947,35.58444097870961,46.659724129713105,11.827767033394498,11.737111178496109,11.825108223606074,3118.941839817853,1.980108685884706,518.4221555949043
SGLang_Run2,4,1024,128,200,34.55678588099545,35.902467992855236,47.425233051762916,11.857154946981964,11.824249385157273,11.861647273779054,812.7125050930772,3.9203798355336037,261.156102744071
SGLang_Run2,4,1024,512,200,39.64140166004654,39.72104052081704,50.66889837849885,12.714251439690747,12.760494604727352,12.727512965146909,3358.3700812098687,3.7521868336983673,982.378795864738
SGLang_Run2,4,2048,128,200,39.296193945920095,39.347095997072756,54.761638262425514,12.181921940564251,12.145333480056909,12.163997323822882,837.2243612122838,3.914082721600713,260.7366204994315
SGLang_Run2,4,2048,512,200,44.7847670209012,44.241393014090136,59.67512727424035,13.24663490213583,13.299086720604263,13.254971154238246,3500.982278655283,3.74316864911082,980.0176998669494
SGLang_Run2,4,256,128,200,30.93770549254259,32.416511996416375,39.90048960084095,11.633973894546514,11.559778754437705,11.631349774165676,793.8696264018654,3.9190381035462054,261.0667232677305
SGLang_Run2,4,256,512,200,35.422036446398124,35.5552910186816,42.386821662657894,12.359982606380818,12.372703136381274,12.370435328637459,3260.9803609989467,3.7652130448208667,985.7892533297752
SGLang_Run2,8,1024,128,200,37.068151441635564,36.67629201663658,49.09857856342569,12.526327481479198,12.478293206643928,12.48713663795437,856.2533786677523,7.51740365301917,500.771844345872
SGLang_Run2,8,1024,512,200,41.405063015408814,41.44231099053286,55.1839656074298,14.396719481836575,14.13586991912328,14.426444953290543,3803.1288448683335,6.638223424662631,1737.986465928047
SGLang_Run2,8,2048,128,200,43.036944836203475,43.185468995943666,58.044311898411244,12.917816954341921,12.898981637442306,12.908542252844466,889.8037153508631,7.420248860676012,494.2998778539325
SGLang_Run2,8,2048,512,200,48.72664484515553,48.15286202938296,69.90386572200804,15.588493511448501,15.340677038565547,15.609146229532893,4118.760518955241,6.557173239974718,1716.7663118239807
SGLang_Run2,8,256,128,200,33.77671445021406,33.59719549189322,41.3359095697524,12.198300224371406,12.13172250633458,12.156366811601606,831.2047339300625,7.495673374129057,499.32428181760713
SGLang_Run2,8,256,512,200,36.91896267613629,37.48822049237788,45.39431359036825,13.580986250913181,13.238043336807094,13.604295447630378,3584.2668582859915,6.711605710207165,1757.1990490178887
HiSim_RTX6000,12,1024,128,200,17.30917406012157,17.553820826406774,23.68136619023941,14.26342801196059,14.219662653844926,14.231256992660892,951.093101633566,11.327601690494582,754.5881866122966
HiSim_RTX6000,12,1024,512,200,18.98597227526208,18.794501247650253,28.98142360202235,18.212389497840864,18.56424856657767,18.227980585647053,4773.116728720798,8.856225754151309,2318.692745823125
HiSim_RTX6000,12,2048,128,200,18.08369013503254,18.23718863939572,24.426088184369743,14.808336189007548,14.982653416061712,14.77330202468064,987.4339024844528,11.308503817505837,753.3159818031513
HiSim_RTX6000,12,2048,512,200,20.21126543694958,19.726598622525238,33.27177217333963,22.333809795915727,23.096199700456964,22.323181023836877,5842.431724168965,8.360411582548874,2188.8811584850337
