rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,output_throughput,completed,experiment,source_file
2,2048,128,2.000156820511497,120.99171818234026,20.63646606189413,1477.938557737507,133.24044659837338,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr2_il2048_ol128.jsonl
2,2048,128,2.014233192835618,119.41737398505212,11.804899386717944,892.2186393011361,134.1781441407447,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
4,2048,128,3.9669849137321656,84.16245215106755,13.032942440013214,942.3285445850343,264.2607000282682,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr4_il2048_ol128.jsonl
4,2048,128,3.901409884502882,130.084585477598,24.998391264178565,1763.5094194393605,259.8924194561595,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr4_il2048_ol128.jsonl
4,2048,128,3.962019895899459,132.58566244505346,12.215847195588651,931.2587012723088,263.92995536534244,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
8,2048,128,7.683572502416428,88.58188768383116,15.57573792391244,1110.8326505450532,511.8411822484704,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr8_il2048_ol128.jsonl
8,2048,128,7.4419493327378,176.71810597646981,42.63280230356753,2687.7805700385943,495.74545480032856,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr8_il2048_ol128.jsonl
8,2048,128,7.650365629651384,163.52198544889688,12.970222211435711,1010.5967764556408,509.62910641922696,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
12,2048,128,11.147688690306527,95.71544824168086,18.77029308560711,1323.9680248731747,742.6032821047694,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr12_il2048_ol128.jsonl
12,2048,128,10.575054745037711,287.56140030920506,79.74815975718056,4444.129123305902,704.4572718406871,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr12_il2048_ol128.jsonl
12,2048,128,11.135364239512109,223.2543583353981,13.872743286464493,1124.4286964461207,741.7822888150989,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
1,256,512,1.007127113477143,37.629444929771125,11.59233929118077,3060.646119080484,263.68098521501815,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr1_il256_ol512.jsonl
1,256,512,1.002168500256745,54.54472636338323,18.20889333108804,4804.303468563594,262.38274589471973,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr1_il256_ol512.jsonl
1,256,512,1.0070648711542272,52.00249798595905,11.818458740036968,3130.753635172732,263.66468924124393,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
2,256,512,1.9936652096867455,40.47652253881097,11.940617437053902,3153.0088794464245,521.9714568741352,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr2_il256_ol512.jsonl
2,256,512,1.95078678575753,55.38636940997094,18.884859592817442,4985.688082836568,510.7452423131077,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr2_il256_ol512.jsonl
