source,request_rate,input_len,output_len,completed,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms,mean_e2e_latency_ms,request_throughput,output_throughput
SGLang,8,2048,512,200,96.05690586642595,93.70903350645676,182.2065581358038,19.369088311916627,19.553273204133102,19.360538913053635,5144.248423946556,6.600627054596058,1728.143172299067
SGLang,8,256,128,200,38.13425999484025,38.007999479305,48.28010874218307,12.423380162229249,12.39514444931337,12.40616793926374,851.9455702902633,7.719452568896953,514.2313328770706
SGLang,8,256,512,200,41.875163100485224,41.258823475800455,56.799239930696785,13.879944427166482,13.588228936061295,13.908373640168103,3668.4406139302882,6.8602407360490725,1796.113928308688
HiSim_RTX6000,12,1024,128,200,17.30917406012157,17.553820826406774,23.68136619023941,14.26342801196059,14.219662653844926,14.231256992660892,951.093101633566,11.327601690494582,754.5881866122966
HiSim_RTX6000,12,1024,512,200,18.98597227526208,18.794501247650253,28.98142360202235,18.212389497840864,18.56424856657767,18.227980585647053,4773.116728720798,8.856225754151309,2318.692745823125
HiSim_RTX6000,12,2048,128,200,18.08369013503254,18.23718863939572,24.426088184369743,14.808336189007548,14.982653416061712,14.77330202468064,987.4339024844528,11.308503817505837,753.3159818031513
HiSim_RTX6000,12,2048,512,200,20.21126543694958,19.726598622525238,33.27177217333963,22.333809795915727,23.096199700456964,22.323181023836877,5842.431724168965,8.360411582548874,2188.8811584850337
HiSim_RTX6000,12,256,128,200,17.059082219885173,17.186820628822375,23.11354649701374,13.906837049204041,13.90346717657603,13.904494167810624,929.4024670407794,11.33194312779879,754.8773914583163
HiSim_RTX6000,12,256,512,200,17.25124174024454,17.012962060374754,25.120225042835123,16.008749304823812,16.237724768445137,16.009964883713515,4192.890232885984,9.148282783026167,2395.1576568379955
HiSim_RTX6000,1,1024,128,200,29.03778511104847,27.52774611379394,52.37595577333721,11.696406622588459,11.570234243329429,11.695349083528615,796.4281152267786,1.01549276368063,67.64705045258516
HiSim_RTX6000,1,1024,512,200,16.472470308980785,15.891266199568488,22.83904495539616,11.959485160233438,11.915030667236152,11.963278817953245,3136.675035213457,1.0082285632224899,263.9693612800962
HiSim_RTX6000,1,2048,128,200,36.63954453898351,51.890318919063816,90.49308637329818,11.860428017306917,11.66731788969984,11.871909638006484,815.6148954367789,1.0152740248597962,67.63247916603532
HiSim_RTX6000,1,2048,512,200,17.23518459340605,17.727785193804912,22.91673118633621,12.116170601762661,12.054164259778611,12.122933071985429,3179.077973763285,1.0080612136617535,263.925546654852
HiSim_RTX6000,1,256,128,200,19.039831038032073,18.12050546698274,29.5638627527736,11.468354985810834,11.431772573876255,11.481007308749454,772.3661256016276,1.015581258411779,67.65294552910066
HiSim_RTX6000,1,256,512,200,16.079783744739395,15.660035513292314,22.68281913835025,11.851437364621935,11.80267533291587,11.855877409331882,3108.2704502596343,1.0083220511921083,263.9938378328618
HiSim_RTX6000,2,1024,128,200,15.351492810393506,15.05723330366493,22.51065417844984,11.799968319908793,11.708590705255373,11.795710257318888,789.3270213443724,2.0209192319973215,134.62353463950157
HiSim_RTX6000,2,1024,512,200,17.462929539570194,17.83037083448047,23.64382601106115,12.49576887989548,12.49538944596552,12.50233230851225,3278.2587305841935,1.997032220297944,522.8529907573062
HiSim_RTX6000,2,2048,128,200,15.499063562883935,15.345184354899288,22.55192084185495,11.922696554146427,11.83063598055246,11.913600898676307,797.2099865295299,2.020506339586963,134.59602981158554
