framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,1,4096,4096,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.015254400670528412
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,fused_recurrent_gated_delta_rule,generation,2,1,2,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.006335999816656113
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_update,generation,128,1,128,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006681600213050842
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,fused_recurrent_gated_delta_rule,generation,128,1,128,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.41810879707336424
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,1,8192,8192,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.026921600103378296
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,1,32768,32768,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.15134079456329347
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_update,generation,4,1,4,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0035776000469923018
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,fused_recurrent_gated_delta_rule,generation,4,1,4,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.006617599725723266
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,8192,32768,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.15641920566558837
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,8192,32768,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.156550395488739
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_update,generation,256,1,256,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.00859839990735054
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,1,4,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.01693439930677414
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,1,16384,16384,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0520799994468689
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_update,generation,8,1,8,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0045471999794244765
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,fused_recurrent_gated_delta_rule,generation,8,1,8,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.01064639985561371
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,2,8,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.01679680049419403
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,4,16,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.016553600132465363
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,fused_recurrent_gated_delta_rule,generation,256,1,256,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.8374048233032226
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,8,32,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.012380799651145935
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,16,64,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.01241919994354248
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,32,128,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.012697599828243256
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,64,256,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.012598399817943574
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,1,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.01656000018119812
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_update,generation,16,1,16,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.004038399830460548
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,2,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.016521599888801575
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,128,512,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.012585599720478059
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,fused_recurrent_gated_delta_rule,generation,16,1,16,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.016748799383640288
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,4,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.016764800250530242
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,256,1024,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.01313920021057129
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_update,generation,512,1,512,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.01279039978981018
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,8,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.012582400441169738
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,16,64,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.012598399817943574
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,512,2048,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.014220799505710601
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,32,128,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.012441600114107132
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,64,256,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.012569600343704223
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,2,1,2,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.01056319996714592
