framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,31,0.01035040020942688
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,63,0.010436800122261048
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,63,0.01043360009789467
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,127,0.012388800084590913
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,127,0.012425599992275238
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,255,0.01653759926557541
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,255,0.014448000490665436
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,511,0.020635199546813966
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,511,0.016601599752902985
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,1023,0.02885279953479767
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,1023,0.02266400009393692
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,2047,0.06917440295219421
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,63,0.049395200610160825
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,2047,0.03503519892692566
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,1,0.024748800694942473
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,3,0.024715200066566467
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,1,0.02680639922618866
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,3,0.026814401149749756
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,7,0.024750399589538574
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,7,0.026743999123573302
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,15,0.026694399118423463
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,15,0.026723200082778932
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,31,0.02677919864654541
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,63,0.032678401470184325
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,31,0.026897600293159483
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,63,0.02884800136089325
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,127,0.053523200750350955
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,127,0.03625119924545288
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,255,0.06326559782028199
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,255,0.205019211769104
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,1023,0.020559999346733093
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,float16,511,0.7350287914276123
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,511,0.39221439361572263
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,511,0.38353281021118163
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,511,0.20903680324554444
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,7,0.010340800136327743
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,3,0.010375999659299851
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,1,0.010438399761915207
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,3,0.01043040007352829
